entity_id,state,last_changed
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:44:31.137Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:44:53.563Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:45:39.661Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:45:50.817Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:46:47.044Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:46:58.237Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:47:31.803Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:47:42.985Z
sensor.xiao_sensor_xiao_12d7dc_battery,95.6,2026-07-29T01:47:54.198Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:48:05.701Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:48:17.137Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:48:28.314Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:48:39.563Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:49:01.884Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:49:13.068Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:49:35.481Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:49:46.749Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:50:20.428Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:50:31.708Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:50:54.335Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:51:05.570Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:51:51.482Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:52:02.930Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T01:52:14.149Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:52:25.336Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:52:36.525Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:52:47.712Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:52:59.219Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:53:21.648Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:53:44.361Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:53:55.595Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:54:18.309Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:54:52.193Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T01:55:14.573Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:55:26.108Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:55:48.951Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:56:00.225Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:56:22.556Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:56:33.993Z
sensor.xiao_sensor_xiao_12d7dc_battery,94.75,2026-07-29T01:57:18.894Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:57:31.057Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T01:57:42.217Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:57:53.447Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T01:58:15.769Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:58:49.481Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T01:59:23.010Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T01:59:45.396Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T01:59:56.665Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.8,2026-07-29T02:00:19.352Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:00:30.515Z
sensor.xiao_sensor_xiao_12d7dc_battery,95.8,2026-07-29T02:00:42.043Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:00:53.235Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:01:39.603Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:01:50.797Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:02:14.366Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:02:25.532Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:02:48.520Z
