entity_id,state,last_changed
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T20:48:38.017Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T20:49:00.356Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T20:51:14.852Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T20:51:26.016Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T20:59:06.070Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T20:59:17.333Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T20:59:28.494Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T20:59:39.938Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T21:00:02.290Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:09:33.581Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T21:09:44.745Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:10:18.237Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T21:10:29.600Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:10:40.761Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T21:10:53.152Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:11:04.326Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T21:11:26.754Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:11:37.905Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T21:12:11.844Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:12:23.029Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T21:12:56.849Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:13:08.085Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.02,2026-07-24T21:13:52.759Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:14:04.032Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:26:02.488Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:26:13.653Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.98,2026-07-24T21:26:24.808Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:26:35.965Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:31:50.256Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:32:01.473Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:32:35.355Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:32:57.667Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:33:08.855Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:33:42.330Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:34:49.595Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:35:00.984Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.97,2026-07-24T21:35:12.252Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:35:23.408Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:36:41.696Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:36:53.151Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:38:11.580Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:38:22.726Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.98,2026-07-24T21:52:49.050Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:53:00.194Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:56:48.316Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:56:59.745Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:58:06.841Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:58:18.017Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:59:14.471Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:59:25.618Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T21:59:48.158Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T21:59:59.577Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:02:02.991Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T22:02:14.191Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:03:33.116Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T22:03:44.369Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:03:55.531Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.97,2026-07-24T22:04:29.395Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T22:04:40.665Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:04:51.860Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T22:05:14.666Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:05:36.975Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T22:05:48.130Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:06:10.467Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T22:06:33.012Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:06:55.384Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T22:07:29.124Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:07:51.731Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T22:08:02.895Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:08:14.058Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T22:10:17.794Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:10:40.120Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.96,2026-07-24T22:13:16.457Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:13:27.613Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.98,2026-07-24T22:42:39.097Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:42:50.261Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.97,2026-07-24T22:48:59.917Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:49:11.331Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:49:33.676Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:49:56.256Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:52:21.723Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:53:17.807Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:54:13.943Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:54:25.149Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:54:36.312Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:54:58.737Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:55:43.369Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:55:54.786Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:56:05.951Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:56:17.115Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:56:28.279Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:56:39.452Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:57:24.158Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:57:35.331Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:57:57.895Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.0,2026-07-24T22:58:53.962Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T22:59:05.119Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.95,2026-07-24T22:59:49.967Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T23:00:01.133Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.98,2026-07-24T23:36:15.224Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,3.99,2026-07-24T23:36:26.674Z
